arm,subject,file_name,mean_gesture_z,max_gesture_z,mean_dist,gestures
left arm,Matthew,Matthew_session07_filtered.npz,-0.6979719201723734,0.5249258875846863,0.08883943532903989,6
left arm,subject12,subject12_session04_filtered.npz,-1.2493335107962291,0.0,0.07476219596962135,6
right arm,subject10,subject10_session08_filtered.npz,22.14905794461568,32.35681915283203,0.7272426535685858,6
right arm,subject10,subject10_session03_filtered.npz,7.5421744386355085,23.296533584594727,0.2818201792736848,6
right arm,subject10,subject10_session07_filtered.npz,6.365636467933655,16.04947280883789,0.3107019091645877,6
right arm,subject10,subject10_session06_filtered.npz,5.368213375409444,12.642679214477539,0.2536250961323579,6
right arm,Matthew,Matthew_session22_filtered.npz,4.908805847167969,10.110384941101074,0.18023068457841873,6
right arm,subject07,subject07_session01_filtered.npz,4.521919906139374,10.393722534179688,0.17529638608296713,6
right arm,subject07,subject07_session02_filtered.npz,4.487553457419078,11.435317993164062,0.17826884612441063,6
right arm,subject07,subject07_session03_filtered.npz,4.46373235185941,9.101471900939941,0.16798572738965353,6
right arm,subject07,subject07_session07_filtered.npz,4.268963684638341,11.50321102142334,0.16817165414492288,6
right arm,subject07,subject07_session06_filtered.npz,4.177014698584874,9.212730407714844,0.1762605452289184,6
right arm,subject07,subject07_session08_filtered.npz,3.9492748777071633,9.741912841796875,0.1630418859422207,6
right arm,subject07,subject07_session05_filtered.npz,3.8049949407577515,8.23136043548584,0.1534485506514708,6
right arm,subject07,subject07_session04_filtered.npz,3.7323962599039078,6.243641376495361,0.1461692862212658,6
right arm,subject10,subject10_session04_filtered.npz,3.6749788522720337,11.43651008605957,0.2185118068009615,6
right arm,subject02,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,3.478661278883616,7.325375556945801,0.16174209490418434,6
right arm,subject10,subject10_session01_filtered.npz,3.2544542948404946,7.043720722198486,0.15132435783743858,6
right arm,subject10,subject10_session05_filtered.npz,3.067494889100393,8.509313583374023,0.18359644214312235,6
right arm,subject04,subject04_session02_relabeled_first_gesture_dropped_filtered.npz,2.28673779964447,3.785649061203003,0.12105614319443703,6
right arm,subject02,subject02_session07_relabeled_first_gesture_dropped_filtered.npz,1.4310277476906776,5.69423770904541,0.10318460687994957,6
right arm,subject04,subject04_session03_relabeled_first_gesture_dropped_filtered.npz,1.36094851916035,3.6796913146972656,0.09952226529518764,6
right arm,Matthew,Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,1.3597305417060852,4.92800760269165,0.10061710824569066,6
right arm,subject02,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,1.3195780391494434,5.2858052253723145,0.10023086859534185,6
right arm,subject02,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,1.3029362658659618,4.670360565185547,0.10304728243499994,6
right arm,Matthew,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,1.2640807175387938,6.195530414581299,0.09785427370419104,6
right arm,subject02,subject02_session06_relabeled_first_gesture_dropped_filtered.npz,1.2132802406946819,5.1445417404174805,0.09540266667803128,6
right arm,subject02,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,1.179959102223317,4.789939880371094,0.09632621705532074,6
right arm,Matthew,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,1.1724404220779736,4.863961696624756,0.0934257082020243,6
right arm,Matthew,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,1.0547199131300051,4.228226661682129,0.08882700217266877,6
right arm,Matthew,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,1.0518801485498745,6.046681880950928,0.08815190040816863,6
right arm,subject12,subject12_session01_filtered.npz,0.9844696174065272,3.353073835372925,0.07303408657511075,6
right arm,Matthew,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,0.7572956023116907,5.033979892730713,0.08148121740669012,6
right arm,subject04,subject04_session01_relabeled_first_gesture_dropped_filtered.npz,0.7459654211997986,1.7111700773239136,0.08159707176188628,6
right arm,Matthew,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,0.7332535659273466,5.097118377685547,0.08084591167668502,6
right arm,subject04,subject04_session04_relabeled_first_gesture_dropped_filtered.npz,0.7221016983191172,1.6253197193145752,0.08604697169115146,6
right arm,subject02,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,0.7132261743148168,3.7374210357666016,0.0807693178455035,6
right arm,subject10,subject10_session02_filtered.npz,0.7040879229704539,1.7653297185897827,0.08369681735833485,6
right arm,subject12,subject12_session02_filtered.npz,0.4932167997273306,2.6550397872924805,0.06170796789228916,6
right arm,Matthew,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,0.49059001977245015,3.316978693008423,0.07366554501156013,6
right arm,subject12,subject12_session06_filtered.npz,0.489429051677386,4.3207197189331055,0.07177991947780053,6
right arm,subject11,subject11_session03_filtered.npz,0.4544802779952685,1.4618679285049438,0.06347264597813289,6
right arm,subject05,subject05_session04_relabeled_first_gesture_dropped_filtered.npz,0.3958827828367551,1.9034475088119507,0.05615316238254309,6
right arm,subject11,subject11_session05_filtered.npz,0.3667445182800293,1.169162631034851,0.061414256071050964,6
right arm,subject12,subject12_session07_filtered.npz,0.27877048154671985,1.8451499938964844,0.05959009441236655,6
right arm,subject12,subject12_session04_filtered.npz,0.2771687110265096,3.883944272994995,0.06548597570508718,6
right arm,subject11,subject11_session04_filtered.npz,0.26492714136838913,0.9537478089332581,0.059002975622812905,6
right arm,subject04,subject04_session05_relabeled_first_gesture_dropped_filtered.npz,0.1937632088859876,1.3854615688323975,0.07053509509811799,6
