arm,subject,file,file_name,n_samples,n_channels,n_windows,duration_s,channel_rms_mean,channel_rms_std,channel_rms_min,channel_rms_max,channel_rms_cv,dead_channels_lt1,dead_channels_lt2,sat_channels_gt5000,label_unknown_frac,label_frac_neutral,label_frac_neutral_buffer,label_frac_left_turn,label_frac_right_turn,label_frac_signal_left,label_frac_signal_right,label_frac_horn,window_conf_mean,window_conf_p10,window_conf_p25,window_low_conf_frac_lt08,train_kept_windows,train_keep_frac,kept_frac_neutral,kept_frac_left_turn,kept_frac_right_turn,kept_frac_signal_left,kept_frac_signal_right,kept_frac_horn,has_calib,calib_neutral_rms_mean,calib_mvc_rms_mean,calib_ratio_mean,calib_ratio_median,calib_ratio_min,calib_ratio_max,calib_weak_ch_lt15,calib_weak_ch_lt20
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session18_filtered.npz,Matthew_session18_filtered.npz,365364,17,3652,182.682,0.02361946739256382,0.010147771798074245,0.010745302774012089,0.05988461151719093,0.4296359419822693,17,17,0,0.0,0.14815582876610872,0.11118352836616797,0.14814101614575617,0.14815582876610872,0.14815582876610872,0.14809657828469858,0.1481113909050511,0.7724534501642936,0.0,1.0,0.22754654983570646,2460,0.6736035049288062,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,0.018663300201296806,0.30275464057922363,14.89130973815918,17.521448135375977,2.3823838233947754,22.837026596069336,0,0
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session19_filtered.npz,Matthew_session19_filtered.npz,364824,17,3647,182.412,0.025730693712830544,0.009433850646018982,0.011504885740578175,0.05561970919370651,0.36663803458213806,17,17,0,0.0,0.14810207194798655,0.1113135172761067,0.14810207194798655,0.14811688215518135,0.14813169236237614,0.14811688215518135,0.14811688215518135,0.7732382780367425,0.0,1.0,0.22676172196325747,2460,0.6745270085001371,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16626016260162602,0.16707317073170733,1,0.008250214159488678,0.21802480518817902,24.096309661865234,25.393163681030273,4.831769943237305,38.09014129638672,0,0
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session20_filtered.npz,Matthew_session20_filtered.npz,365688,17,3655,182.844,0.02458547055721283,0.010451927781105042,0.01313436683267355,0.06278032809495926,0.42512619495391846,17,17,0,0.0,0.14813223923926888,0.1112509997926356,0.1481026157537696,0.14817667446751784,0.14811742749651924,0.1481026157537696,0.14811742749651924,0.772093023255814,0.0,1.0,0.22790697674418606,2462,0.6735978112175103,0.16653127538586515,0.16653127538586515,0.1669374492282697,0.1669374492282697,0.16653127538586515,0.16653127538586515,1,0.09234301745891571,0.18469496071338654,4.605351448059082,1.9032976627349854,0.8572822213172913,16.813613891601562,1,11
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session21_filtered.npz,Matthew_session21_filtered.npz,366606,17,3665,183.303,0.041944414377212524,0.019585542380809784,0.012616987340152264,0.06472204625606537,0.46694043278694153,17,17,0,0.0,0.14809933022077906,0.11140031619207003,0.14805490042171285,0.14817337988588947,0.1480289830389242,0.14815856995286739,0.148084520287757,0.7697135061391541,0.0,1.0,0.23028649386084585,2460,0.6712141882673943,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16626016260162602,0.16707317073170733,0.16666666666666666,1,0.009246453642845154,0.40474915504455566,38.82699203491211,45.302093505859375,8.527976989746094,62.383575439453125,0,0
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session22_filtered.npz,Matthew_session22_filtered.npz,386154,17,3860,193.077,0.055328335613012314,0.0356280654668808,0.012479957193136215,0.14126184582710266,0.6439388394355774,17,17,0,0.0,0.13805498795281945,0.17176608966222887,0.13805498795281945,0.13801898143563984,0.13801898143563984,0.13803098360803306,0.13805498795281945,0.8948186528497409,0.0,1.0,0.10518134715025906,2820,0.7305699481865285,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,0.06954912841320038,0.1948227733373642,7.303096771240234,4.832556247711182,1.5997071266174316,29.876501083374023,0,3
right arm,subject02,data/right arm/subject02/filtered/subject02_session01_relabeled_first_gesture_dropped_filtered.npz,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,364770,17,3646,182.385,0.054708436131477356,0.03888285160064697,0.016100142151117325,0.19005057215690613,0.710728645324707,17,17,0,0.0,0.15319880796426957,0.11133583078608475,0.12255904637141565,0.15334053457746316,0.15317582527023818,0.1532026384132748,0.15318731661725388,0.7476686780032913,0.0,0.0,0.2523313219967087,2375,0.6513987931980252,0.17221052631578948,0.13810526315789473,0.17221052631578948,0.1726315789473684,0.1726315789473684,0.17221052631578948,1,0.032001614570617676,0.04249493032693863,3.2000105381011963,2.547750473022461,0.14697854220867157,10.517053604125977,5,5
right arm,subject02,data/right arm/subject02/filtered/subject02_session02_relabeled_first_gesture_dropped_filtered.npz,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,362610,17,3625,181.305,0.04016959294676781,0.040902815759181976,0.012631559744477272,0.19583040475845337,1.018253207206726,17,17,0,0.0,0.1531297628074045,0.11159616754359764,0.12255588998920111,0.15319103309361334,0.15320635066516555,0.1531297628074045,0.15319103309361334,0.752,0.0,1.0,0.248,2378,0.656,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.01098787970840931,0.04687440022826195,8.83046817779541,3.772332191467285,2.1289100646972656,79.54010772705078,0,0
right arm,subject02,data/right arm/subject02/filtered/subject02_session03_relabeled_first_gesture_dropped_filtered.npz,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,363528,17,3634,181.764,0.03583892062306404,0.042924944311380386,0.011916987597942352,0.19946454465389252,1.197718620300293,17,17,0,0.0,0.1532521851037589,0.11129666087036455,0.12254965796710662,0.15322154385911155,0.15320622323678787,0.15322154385911155,0.1532521851037589,0.7504127682993946,0.0,1.0,0.2495872317006054,2380,0.654925701706109,0.1726890756302521,0.13781512605042018,0.1722689075630252,0.1726890756302521,0.1722689075630252,0.1722689075630252,1,0.010356439277529716,0.032386742532253265,6.533891201019287,2.3985133171081543,1.8656752109527588,58.68357467651367,0,1
right arm,subject02,data/right arm/subject02/filtered/subject02_session04_relabeled_first_gesture_dropped_filtered.npz,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,363366,17,3632,181.683,0.034655533730983734,0.04015664383769035,0.011139948852360249,0.1876370757818222,1.1587368249893188,17,17,0,0.0,0.1531815152698945,0.11144303758684346,0.12255746796271189,0.1531815152698945,0.15322747432038053,0.15322747432038053,0.1531815152698945,0.7508259911894273,0.0,1.0,0.2491740088105727,2377,0.6544603524229075,0.17248632730332353,0.1379890618426588,0.17248632730332353,0.17248632730332353,0.17248632730332353,0.17206562894404712,1,0.009511607699096203,0.03891098499298096,7.60065221786499,3.4878523349761963,2.7506260871887207,66.29256439208984,0,0
right arm,subject02,data/right arm/subject02/filtered/subject02_session05_relabeled_first_gesture_dropped_filtered.npz,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,363312,17,3632,181.656,0.029419386759400368,0.037291381508111954,0.01093081384897232,0.17101235687732697,1.2675784826278687,17,17,0,0.0,0.15328394456404323,0.11121666449601238,0.12259344666702418,0.15326862229849306,0.15320733323629232,0.15319201097074214,0.15323797776739267,0.7502753303964758,0.0,1.0,0.24972466960352424,2378,0.6547356828193832,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.008787523955106735,0.024038178846240044,6.0935845375061035,2.0757083892822266,1.5512162446975708,49.40614700317383,0,7
