arm,subject,file_name,n_kept_windows,n_present_classes,sep_score_all,sep_score_active_only,active_vs_neutral_amp_ratio,kept_label_entropy_bits,cnt_neutral,cnt_left_turn,cnt_right_turn,cnt_signal_left,cnt_signal_right,cnt_horn
right arm,subject12,subject12_session01_filtered.npz,2459,6,0.8536110393148693,0.8501315603834133,1.183691818963324,2.58496190391518,410,409,410,410,410,410
right arm,subject12,subject12_session02_filtered.npz,2461,6,0.7942203394500581,0.7440106481211837,1.210713602575277,2.5849619055303514,410,410,410,410,410,411
right arm,subject12,subject12_session03_filtered.npz,2460,6,1.3691306667123997,1.255852360469255,1.3186926243184236,2.584962500721156,410,410,410,410,410,410
right arm,subject12,subject12_session04_filtered.npz,2460,6,1.1962798880053218,1.169853797715517,1.3024841916943888,2.584962500721156,410,410,410,410,410,410
right arm,subject12,subject12_session05_filtered.npz,2460,6,1.5218765869947424,1.5133252874176695,1.1603149154620258,2.584962500721156,410,410,410,410,410,410
right arm,subject12,subject12_session06_filtered.npz,2460,6,1.622907526031471,1.651619421842461,1.3382615668464066,2.584962500721156,410,410,410,410,410,410
right arm,subject12,subject12_session07_filtered.npz,2460,6,1.922696421336764,1.912823540215126,1.1810966100406548,2.584962500721156,410,410,410,410,410,410
left arm,Matthew,Matthew_session01_filtered.npz,2461,6,1.4094256248081556,1.2498388682146286,1.5787037758489038,2.5849590493815273,410,410,410,410,409,412
left arm,Matthew,Matthew_session02_filtered.npz,2459,6,2.6663489996433936,2.297775551842082,1.8047651271506546,2.58496190391518,410,410,409,410,410,410
left arm,Matthew,Matthew_session03_filtered.npz,2459,6,1.645977173990357,1.6784556431562536,1.6812381605726672,2.58496190391518,410,410,410,410,410,409
left arm,Matthew,Matthew_session04_filtered.npz,2460,6,2.380731270357679,2.133086257810284,1.821973349772152,2.584962500721156,410,410,410,410,410,410
left arm,Matthew,Matthew_session05_filtered.npz,2460,6,2.3624519238327895,2.034879907949283,1.940715207953028,2.584962500721156,410,410,410,410,410,410
left arm,Matthew,Matthew_session06_filtered.npz,2460,6,2.4905490133374526,2.3966559227827187,1.7672587783681202,2.584962500721156,410,410,410,410,410,410
left arm,Matthew,Matthew_session07_filtered.npz,2461,6,2.5197266495064268,2.345843349048727,1.8137341933980622,2.5849619055303514,410,410,411,410,410,410
left arm,Matthew,Matthew_session08_filtered.npz,2460,6,2.8178907597543077,2.5691178362288456,1.9787949672044758,2.584962500721156,410,410,410,410,410,410
left arm,Matthew,Matthew_session09_filtered.npz,2460,6,1.9593861332492566,1.905456509480222,1.948179340187074,2.584961070326082,410,410,409,410,410,411
