arm,subject,file_name,applied_calib,calib_ratio_median,n_kept_windows,sep_score_all_norm,sep_score_active_norm,active_vs_neutral_amp_ratio_norm
right arm,subject06,subject06_session03_relabeled_first_gesture_dropped_filtered.npz,1,1.5033584352923743,2377,1.1765740104837488,1.117543131862318,1.287728912046944
right arm,subject06,subject06_session04_relabeled_first_gesture_dropped_filtered.npz,1,997.3856075151363,2378,1.4961272394848328,1.2753478381590142,1.7503331545386196
right arm,subject06,subject06_session05_relabeled_first_gesture_dropped_filtered.npz,1,2761.919266609445,2379,1.7273622687565355,1.4155919578409493,1.9645278431641227
right arm,subject06,subject06_session06_relabeled_first_gesture_dropped_filtered.npz,1,1.7833845318437656,2376,1.696735350427464,1.3672729879546122,1.733478100421052
right arm,subject06,subject06_session07_relabeled_first_gesture_dropped_filtered.npz,1,2048.701431667942,2378,1.512195388188436,1.209075785662898,1.9581011551713186
right arm,subject06,subject06_session08_relabeled_first_gesture_dropped_filtered.npz,1,7.245552305144708,2377,1.5078546703238311,1.2052870205314417,2.0048690195449725
right arm,subject07,subject07_session01_filtered.npz,1,3990.748388507834,2460,1.8054007073261893,1.7134616784244023,1.5036221780801142
right arm,subject07,subject07_session02_filtered.npz,1,3.6071354739611223,2460,2.0216251570892125,1.8996776307679852,1.8507817901586165
right arm,subject07,subject07_session03_filtered.npz,1,5.022987440884943,2459,1.7037709926250981,1.6675968840799904,1.6850674894094038
right arm,subject07,subject07_session04_filtered.npz,1,3.6525550908793982,2460,1.3326005608580058,1.5346578688958963,1.2356176109110777
right arm,subject07,subject07_session05_filtered.npz,1,3.246711470017638,2459,1.9235766910507415,1.8504954348579907,1.8218742635116165
right arm,subject07,subject07_session06_filtered.npz,1,3.100284786376225,2461,2.2449670276524594,2.1935905741404715,2.049152868751959
right arm,subject07,subject07_session07_filtered.npz,1,4.2728545447317865,2460,1.9778011849591333,1.8691599796488536,1.9717151725353712
right arm,subject07,subject07_session08_filtered.npz,1,5.555704716866706,2461,1.9907887457713183,1.8324868899499074,2.057221848167784
right arm,subject08,subject08_session01_filtered.npz,1,2.7584886607085264,2461,1.5914141718412875,1.5354438870610367,1.3409731189304643
right arm,subject08,subject08_session02_filtered.npz,1,5.269920828683745,2460,1.0623089695648547,0.7950369312982473,1.4626682867663334
right arm,subject08,subject08_session03_filtered.npz,1,6.402547441138781,2460,1.7175534257795546,1.5392520215904606,1.3655093237080358
right arm,subject08,subject08_session04_filtered.npz,1,4.107784437110813,2460,1.6997636889273715,1.5438103581688285,1.3505392920960888
right arm,subject08,subject08_session05_filtered.npz,1,2.689846445758818,2460,1.6969056585153164,1.5730586121933514,1.3189556096586537
right arm,subject08,subject08_session06_filtered.npz,1,5.466013015948536,2460,1.4654674706344402,1.2564558140070567,1.2947008407992473
right arm,subject08,subject08_session07_filtered.npz,1,2.453987679138728,2460,1.7027025161769878,1.6369674807556986,1.25498310587286
right arm,subject09,subject09_session01_filtered.npz,1,2.294397510085882,2459,1.0650909926766952,0.8937526699397518,1.4238015398789634
right arm,subject09,subject09_session02_filtered.npz,1,3.3105426660042987,2460,1.3281636898477918,0.9517664270512995,1.7451138011438965
right arm,subject09,subject09_session03_filtered.npz,1,3.043313433131769,2459,1.3344273600909509,1.0203558163362778,1.9800775678539935
right arm,subject09,subject09_session04_filtered.npz,1,3.0223441183094297,2460,1.7297763402952413,1.3402797942745612,1.8631526876916389
right arm,subject09,subject09_session05_filtered.npz,1,3.0879022337961644,2459,1.4148697544721858,1.0925445958353668,1.6529694808471234
right arm,subject09,subject09_session06_filtered.npz,1,3.8715284183942464,2461,1.772631665364963,1.4397634805480846,1.661551502964701
right arm,subject10,subject10_session01_filtered.npz,1,8.579128070675829,2460,0.4793208331897103,0.5080630396475991,1.4212931523806165
right arm,subject10,subject10_session02_filtered.npz,1,13.242904821780444,2460,0.9801358545564482,0.937255684527267,2.972788495828324
right arm,subject10,subject10_session03_filtered.npz,1,12.452337481476018,2460,1.090662381346212,1.0011102372822258,0.830100230590646
right arm,subject10,subject10_session04_filtered.npz,1,7.116942240520095,2460,0.6175927045210048,0.6369558669238201,2.6477444430203874
right arm,subject10,subject10_session05_filtered.npz,1,9.847150736281852,2460,0.9941940221885571,1.004597530291502,2.5565794468301575
right arm,subject10,subject10_session06_filtered.npz,1,15.335526133060792,2460,1.3682302747564676,1.5700563092028472,1.434941262233951
right arm,subject10,subject10_session07_filtered.npz,1,10.63581888539396,2460,0.6413197744243093,0.6895507248409185,2.3227284538074455
right arm,subject10,subject10_session08_filtered.npz,1,8.883825177115403,2460,1.8368681211130924,1.9946345349145171,2.8278888712713934
right arm,subject11,subject11_session01_filtered.npz,1,7.967483944036868,2461,0.9242304663285116,0.7495024757115794,1.907129966638792
right arm,subject11,subject11_session02_filtered.npz,1,7.134700433916237,2460,0.9951094951150059,0.7270536318160618,2.160728331593624
right arm,subject11,subject11_session03_filtered.npz,1,6.405182064714192,2460,1.3107233563741176,1.106043456347986,1.713305026786411
right arm,subject11,subject11_session04_filtered.npz,1,9.267456875329366,2460,1.1837832226460518,0.8960705495817172,2.2718786533710356
right arm,subject11,subject11_session05_filtered.npz,1,5.203103905132091,2460,1.3228568651036572,1.023544667349505,1.9421445790570449
right arm,subject11,subject11_session06_filtered.npz,1,7.244375307638631,2460,1.1713594250594666,0.9547299375320308,1.6136035126989885
right arm,subject11,subject11_session07_filtered.npz,1,5.152811090080468,2460,1.4008166732939449,1.1120736901218202,1.8813635878268997
right arm,subject12,subject12_session01_filtered.npz,1,3.2551016315122983,2459,1.4164637856203228,1.4114990392490037,1.2883529953535
